year,stn,name,month,month_dev,cum_dev
2024,295,남해,8,11.2,11.9
2024,295,남해,9,24.9,13.4
2025,90,속초,1,,
2025,90,속초,2,,
2025,90,속초,3,104.2,148.3
2025,90,속초,4,-0.5,26.1
2025,90,속초,5,0.9,11.3
2025,90,속초,6,21.2,15.5
2025,90,속초,7,17.9,16.4
2025,90,속초,8,16.3,16.4
2025,90,속초,9,16.2,16.3
2025,95,철원,1,,
2025,95,철원,2,,
2025,95,철원,3,743.8,743.8
2025,95,철원,4,18.8,49.7
2025,95,철원,5,-5.2,12.5
2025,95,철원,6,6.4,9.6
2025,95,철원,7,12.7,10.7
2025,95,철원,8,11.1,10.8
2025,95,철원,9,15.4,11.3
2025,98,동두천,1,,
2025,98,동두천,2,,
2025,98,동두천,3,133.5,138.7
2025,98,동두천,4,9.5,30.1
2025,98,동두천,5,-7.9,6.9
2025,98,동두천,6,3.0,5.2
2025,98,동두천,7,11.4,7.3
2025,98,동두천,8,6.7,7.2
2025,98,동두천,9,10.2,7.5
2025,99,파주,1,,
2025,99,파주,2,,
2025,99,파주,3,181.6,181.6
2025,99,파주,4,2.3,22.1
2025,99,파주,5,-10.5,0.9
2025,99,파주,6,1.0,0.9
2025,99,파주,7,9.6,4.0
2025,99,파주,8,6.6,4.7
2025,99,파주,9,12.0,5.6
2025,101,춘천,1,,
2025,101,춘천,2,,
2025,101,춘천,3,193.6,193.6
2025,101,춘천,4,14.4,36.4
2025,101,춘천,5,-8.8,8.0
2025,101,춘천,6,1.0,4.8
2025,101,춘천,7,11.3,7.1
2025,101,춘천,8,9.2,7.6
2025,101,춘천,9,12.7,8.2
2025,102,백령도,1,,
2025,102,백령도,2,,
2025,102,백령도,3,439.5,465.8
2025,102,백령도,4,-0.4,30.1
2025,102,백령도,5,-9.9,2.9
2025,102,백령도,6,0.9,1.9
2025,102,백령도,7,12.4,5.9
2025,102,백령도,8,7.6,6.4
2025,102,백령도,9,13.4,7.3
2025,105,강릉,1,,
2025,105,강릉,2,,
2025,105,강릉,3,84.2,136.0
2025,105,강릉,4,12.1,38.7
2025,105,강릉,5,3.8,18.9
2025,105,강릉,6,22.2,20.3
2025,105,강릉,7,21.9,20.8
2025,105,강릉,8,19.8,20.6
2025,105,강릉,9,20.4,20.5
2025,106,동해,1,,
2025,106,동해,2,,
2025,106,동해,3,90.6,135.2
2025,106,동해,4,8.4,35.1
2025,106,동해,5,2.3,16.3
2025,106,동해,6,20.8,18.1
2025,106,동해,7,21.0,19.1
2025,106,동해,8,16.2,18.3
2025,106,동해,9,22.5,18.8
2025,108,서울,1,,
2025,108,서울,2,,
2025,108,서울,3,133.8,145.7
2025,108,서울,4,8.6,33.1
2025,108,서울,5,-4.2,11.0
2025,108,서울,6,6.2,8.9
2025,108,서울,7,16.7,11.6
2025,108,서울,8,10.1,11.2
2025,108,서울,9,12.7,11.4
2025,112,인천,1,,
2025,112,인천,2,,
2025,112,인천,3,101.8,108.7
2025,112,인천,4,0.0,18.0
2025,112,인천,5,-4.7,4.3
2025,112,인천,6,3.3,3.9
2025,112,인천,7,14.3,7.5
2025,112,인천,8,8.2,7.7
2025,112,인천,9,12.7,8.3
2025,114,원주,1,,
2025,114,원주,2,,
2025,114,원주,3,205.7,208.1
2025,114,원주,4,14.4,42.7
2025,114,원주,5,-4.2,14.0
2025,114,원주,6,7.3,11.1
2025,114,원주,7,12.7,11.6
2025,114,원주,8,9.9,11.2
2025,114,원주,9,15.7,11.7
2025,115,울릉도,1,,
2025,115,울릉도,2,,
2025,115,울릉도,3,139.4,210.1
2025,115,울릉도,4,13.2,48.1
2025,115,울릉도,5,0.8,19.9
2025,115,울릉도,6,18.3,19.2
2025,115,울릉도,7,21.9,20.2
2025,115,울릉도,8,17.7,19.5
2025,115,울릉도,9,23.1,19.9
2025,119,수원,1,,
2025,119,수원,2,,
2025,119,수원,3,146.9,150.7
2025,119,수원,4,3.9,27.0
2025,119,수원,5,-8.1,5.7
2025,119,수원,6,2.5,4.3
2025,119,수원,7,11.3,6.7
2025,119,수원,8,6.2,6.6
2025,119,수원,9,9.3,6.9
2025,121,영월,1,,
2025,121,영월,2,,
2025,121,영월,3,189.4,189.4
2025,121,영월,4,18.0,38.8
2025,121,영월,5,-6.4,10.5
2025,121,영월,6,5.3,8.1
2025,121,영월,7,12.2,9.6
2025,121,영월,8,9.3,9.5
2025,121,영월,9,16.1,10.2
2025,127,충주,1,,
2025,127,충주,2,,
2025,127,충주,3,186.6,189.0
2025,127,충주,4,16.6,40.1
2025,127,충주,5,-5.5,12.0
2025,127,충주,6,6.5,9.5
2025,127,충주,7,10.4,9.8
2025,127,충주,8,8.4,9.4
2025,127,충주,9,16.7,10.2
2025,129,서산,1,,
2025,129,서산,2,,
2025,129,서산,3,222.2,236.7
2025,129,서산,4,6.8,32.0
2025,129,서산,5,-4.8,8.4
2025,129,서산,6,4.2,6.5
2025,129,서산,7,14.2,9.3
2025,129,서산,8,8.2,9.0
2025,129,서산,9,13.7,9.5
2025,130,울진,1,,
2025,130,울진,2,,
2025,130,울진,3,73.7,106.9
2025,130,울진,4,9.0,30.4
2025,130,울진,5,0.2,13.3
2025,130,울진,6,17.8,15.2
2025,130,울진,7,19.6,16.7
2025,130,울진,8,16.6,16.7
2025,130,울진,9,20.2,17.1
2025,131,청주,1,,
2025,131,청주,2,,
2025,131,청주,3,131.5,145.4
2025,131,청주,4,19.7,43.8
2025,131,청주,5,-2.4,16.8
2025,131,청주,6,9.4,13.6
2025,131,청주,7,15.0,14.1
2025,131,청주,8,11.6,13.4
2025,131,청주,9,18.3,14.0
2025,133,대전,1,,
2025,133,대전,2,,
2025,133,대전,3,121.3,139.5
2025,133,대전,4,18.3,42.3
2025,133,대전,5,-4.1,15.3
2025,133,대전,6,7.7,12.1
